morpheme_unit,count
nan,57
"Xihuitl/herbs, green leaves",37
Xochitl/flower,34
Quahuitl/tree or wood,23
Patli/medicine,18
Xocotl/sour fruit,14
Atl/water,13
Te/stone,10
Quilitl/edible green,9
Iztac/white,8
"Quetzal/precious, feathered, or green",8
Tlaco/half or middle,7
Tlal/earth or ground,7
Huitz/needle or thorn,7
Teo/divine,7
Ocotl/pine,6
Acatl/reed,6
Amatl/paper,5
Zacatl/grass,5
Tetl/stone,5
Tototl/bird,5
Nochtli/prickly pear,5
Tla/thing or something,4
Copalli/incense,4
Ecatl/wind,4
Tzon/hair,4
Ayauh/mist or fog,3
Elotl/fresh maize ear,3
Tlanextia/to shine light,3
Huitzihtzil/colibri,3
Tepe/hill or mountain,3
Misquitl/mesquite,3
Tlacatl/person,3
Yauhtli/medicinal marigold,2
Centzon/four hundred or many,2
Chilli/chile,2
Tonatiuh/sun,2
Xal/sand,2
Tlazol/filth,2
Tonalco/sun or heat,2
Xiyotl/young maize ear,2
Papalo/butterfly,2
Nopalli/nopal,2
Chichiltic/red,2
Texcal/stone or cliff,2
Chichic/bitter,2
Coyotl/coyote,2
"Mecatl/cord, rope, or vine",2
Cococ/hot or spicy,2
Michi/fish,1
Tomatl/tomato,1
Tlalli/land,1
Eztli/blood,1
Tecolotl/owl,1
Molli/sauce,1
Iztli/obsidian or blade,1
